Tipo Titulo,Data Vencimento,Data Base,PU Base Manha,Juros
Tesouro Selic,2007-01-17,2005-02-09,2189.27,0.9608389339529301
Tesouro Selic,2006-01-18,2005-02-09,2195.66,1.77244646111374
Tesouro Selic,2005-02-16,2005-02-09,2198.56,125.55068431945813
Tesouro Selic,2007-01-17,2005-02-10,2190.74,0.9380198184627
Tesouro Prefixado,2005-07-01,2005-02-10,933.49,19.516722266887758
Tesouro Prefixado,2006-01-01,2005-02-10,855.18,19.22213021964371
Tesouro Prefixado,2005-10-01,2005-02-10,891.59,19.70736711688427
Tesouro Prefixado,2006-07-01,2005-02-10,789.95,18.55407648398757
Tesouro Prefixado,2005-04-01,2005-02-10,976.14,19.29274712481585
Tesouro Selic,2008-06-18,2005-02-10,2173.9,0.6998341554632099
Tesouro Selic,2006-01-18,2005-02-10,2197.14,1.72715413767714
Tesouro Selic,2005-02-16,2005-02-10,2200.02,151.19401868439022
Tesouro Selic,2009-03-18,2005-02-10,2165.34,0.63866242277337
Tesouro Selic,2008-06-18,2005-02-11,2175.37,0.68638327956527
Tesouro Selic,2009-03-18,2005-02-11,2166.81,0.62758654337351
Tesouro Prefixado,2005-04-01,2005-02-11,976.81,19.11223362514225
Tesouro Prefixado,2005-07-01,2005-02-11,934.2,19.43188479896662
Tesouro Selic,2005-02-16,2005-02-11,2201.49,192.0052843151317
Tesouro Prefixado,2006-01-01,2005-02-11,856.03,19.15332539075303
Tesouro Prefixado,2006-07-01,2005-02-11,790.11,18.57666897186292
Tesouro Selic,2007-01-17,2005-02-11,2192.22,0.91499284386546
Tesouro Prefixado,2005-10-01,2005-02-11,892.51,19.605857986249582
Tesouro Selic,2006-01-18,2005-02-11,2198.61,1.68199237492996
Tesouro Selic,2007-01-17,2005-02-14,2193.7,0.8944746075037501
Tesouro Prefixado,2006-07-01,2005-02-14,790.92,18.609014056381838
Tesouro Prefixado,2006-01-01,2005-02-14,857.07,19.183858532142082
Tesouro Prefixado,2005-10-01,2005-02-14,893.42,19.692003663107947
Tesouro Selic,2008-06-18,2005-02-14,2176.85,0.67393300207503
Tesouro Selic,2009-03-18,2005-02-14,2168.29,0.61725495409106
Tesouro Prefixado,2005-04-01,2005-02-14,977.49,19.81475493654234
Tesouro Prefixado,2005-07-01,2005-02-14,934.98,19.63072013690616
Tesouro Selic,2005-02-16,2005-02-14,2202.95,1240.2890479556058
Tesouro Selic,2006-01-18,2005-02-14,2200.09,1.6460378208481299
Tesouro Selic,2009-03-18,2005-02-15,2169.77,0.60607476886671
Tesouro Selic,2008-06-18,2005-02-15,2178.33,0.66034374812651
Tesouro Selic,2005-02-16,2005-02-15,2204.42,15084.200291828256
Tesouro Prefixado,2006-01-01,2005-02-15,856.14,19.39710596821242
Tesouro Prefixado,2005-04-01,2005-02-15,978.06,19.729189567804887
Tesouro Prefixado,2006-07-01,2005-02-15,789.17,18.84118308059141
Tesouro Selic,2007-01-17,2005-02-15,2195.18,0.8712971851479101
Tesouro Prefixado,2005-07-01,2005-02-15,935.19,19.71626219671818
Tesouro Prefixado,2005-10-01,2005-02-15,893.0,19.87666975363113
Tesouro Selic,2006-01-18,2005-02-15,2201.56,1.60020418670485
Tesouro Selic,2008-06-18,2005-02-16,2179.81,0.6467436313091199
Tesouro Prefixado,2005-07-01,2005-02-16,935.79,19.66811225493612
Tesouro Prefixado,2006-04-01,2005-02-16,821.27,19.22484233396222
Tesouro Prefixado,2006-07-01,2005-02-16,789.53,18.84261814867955
Tesouro Prefixado,2006-01-01,2005-02-16,856.74,19.36769072193684
Tesouro Selic,2007-01-17,2005-02-16,2196.66,0.84807539136537
Tesouro Selic,2006-01-18,2005-02-16,2203.04,1.55380681267556
Tesouro Selic,2009-03-18,2005-02-16,2171.24,0.59496704699943
Tesouro Prefixado,2005-10-01,2005-02-16,893.63,19.83638579384166
Tesouro Prefixado,2005-04-01,2005-02-16,978.72,19.54884130971934
Tesouro Prefixado,2007-01-01,2005-02-16,730.58,18.24974424822587
Tesouro Selic,2007-01-17,2005-02-17,2198.14,0.8248090237611401
Tesouro Selic,2009-03-18,2005-02-17,2172.72,0.58377514589658
Tesouro Prefixado,2005-07-01,2005-02-17,936.37,19.626361799551812
Tesouro Prefixado,2006-07-01,2005-02-17,791.16,18.70440804584308
Tesouro Prefixado,2007-01-01,2005-02-17,732.8,18.08701328484145
Tesouro Prefixado,2005-04-01,2005-02-17,979.42,19.31945596086219
Tesouro Prefixado,2006-04-01,2005-02-17,822.54,19.11135807105795
Tesouro Prefixado,2006-01-01,2005-02-17,857.72,19.27744019874469
Tesouro Selic,2006-01-18,2005-02-17,2204.52,1.50718827887639
Tesouro Prefixado,2005-10-01,2005-02-17,894.31,19.78503102654141
Tesouro Selic,2008-06-18,2005-02-17,2182.02,0.62616036620077
Tesouro Prefixado,2007-01-01,2005-02-18,734.32,17.98480000950997
Tesouro Prefixado,2006-01-01,2005-02-18,858.82,19.167680246871498
Tesouro Prefixado,2005-10-01,2005-02-18,895.18,19.692103174860982
Tesouro Prefixado,2005-07-01,2005-02-18,937.2,19.49654164303034
Tesouro Prefixado,2005-04-01,2005-02-18,980.09,19.11185054290167
Tesouro Selic,2007-01-17,2005-02-18,2199.66,0.8008360906481301
Tesouro Selic,2006-01-18,2005-02-18,2206.04,1.4589586599939
Tesouro Selic,2009-03-18,2005-02-18,2173.36,0.57915489483195
Tesouro Prefixado,2006-07-01,2005-02-18,792.7,18.57604669788466
Tesouro Prefixado,2006-04-01,2005-02-18,823.96,18.97823832635088
Tesouro Selic,2008-06-18,2005-02-18,2183.53,0.61225187304139
Tesouro Prefixado,2005-10-01,2005-02-21,895.62,19.88623352588123
Tesouro Selic,2009-03-18,2005-02-21,2175.76,0.5615042788148
Tesouro Selic,2006-01-18,2005-02-21,2207.55,1.4194315393057
Tesouro Selic,2007-01-17,2005-02-21,2201.6,0.77209016929913
Tesouro Selic,2008-06-18,2005-02-21,2185.05,0.59922622653378
Tesouro Prefixado,2005-04-01,2005-02-21,980.78,19.9320333415889
Tesouro Prefixado,2006-01-01,2005-02-21,859.29,19.29156179332907
Tesouro Prefixado,2005-07-01,2005-02-21,937.8,19.77316649904039
Tesouro Prefixado,2006-07-01,2005-02-21,792.97,18.66873200512329
Tesouro Prefixado,2006-04-01,2005-02-21,824.37,19.07829547548027
Tesouro Prefixado,2007-01-01,2005-02-21,734.23,18.07883007598019
Tesouro Selic,2007-01-17,2005-02-22,2203.12,0.74795549016677
Tesouro Selic,2006-01-18,2005-02-22,2209.27,1.36345934766288
Tesouro Selic,2009-03-18,2005-02-22,2177.27,0.5500449416793299
Tesouro Selic,2008-06-18,2005-02-22,2186.58,0.58508211487326
Tesouro Prefixado,2006-04-01,2005-02-22,824.48,19.11549539631114
Tesouro Prefixado,2006-07-01,2005-02-22,792.78,18.730891314952
Tesouro Prefixado,2006-01-01,2005-02-22,859.7,19.29238779728244
Tesouro Prefixado,2005-10-01,2005-02-22,896.12,19.87403988603335
Tesouro Prefixado,2005-04-01,2005-02-22,981.48,19.68347212719841
Tesouro Prefixado,2005-07-01,2005-02-22,938.44,19.70935115746994
Tesouro Prefixado,2007-01-01,2005-02-22,733.11,18.204946139020663
Tesouro Selic,2009-03-18,2005-02-23,2178.79,0.53850132251487
Tesouro Selic,2008-06-18,2005-02-23,2188.1,0.5710225287201199
Tesouro Selic,2006-01-18,2005-02-23,2210.79,1.31424487672522
Tesouro Prefixado,2005-07-01,2005-02-23,938.96,19.68836974858971
Tesouro Prefixado,2006-04-01,2005-02-23,824.12,19.21463377439907
Tesouro Prefixado,2005-04-01,2005-02-23,982.15,19.45864698491732
Tesouro Prefixado,2005-10-01,2005-02-23,896.57,19.87289653800203
Tesouro Prefixado,2006-07-01,2005-02-23,792.33,18.82221974071853
Tesouro Selic,2007-01-17,2005-02-23,2204.64,0.7237743980546201
Tesouro Prefixado,2007-01-01,2005-02-23,732.68,18.27158347319213
